Region,ID,Classification,Metro,Address,Facility,Data Center,Contact,Location (Relative to Airport),Colocation Gross SQ FT,Colocation Gross SQ M,Building Type,Parking,Floor Type,Floor Load Capacity,Flood Plain Info,Rating Range,Seismic Design Category,Fire Suppression,Power and Cooling Density,Utility Feeders,UPS Configuration,UPS Redundancy,Standby Power Configuration,Standby Power Redundancy,Cooling Configuration,Cooling Redundancy,Security (Physical),Security (Human),Security (Electronic),Amenities,Products and Services (Colocation ),Products and Services (Interconnection),Products and Services (Services),Products and Services (Packaged Solutions),Certifications,Green By Design,Reliability
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, Antenna","Cloud Exchange, Internet Exchange, Cross Connects, Campus Cross Connect",,,"SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Gold, Granular temperature controls & Cold aisle containment, Reflective roof, LEDs & Optimized lighting controls",

AMER,SV1,IBX+,Silicon Valley,"11 Great Oaks Boulevard
San Jose, CA 95119",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","14 mi (23 km) to San Jose Intl Airport (SJC), 46 mi (75 km) to San Francisco Intl Airport (SFO), 46 mi (76 km) to Oakland Intl Airport (OAK)","82,851","7,697","1-story, steel frame,
metal skin, concrete slab on grade",Adjacent to building (no charge),Slab,400 psf (19.15 kN/m2),N/A,,4,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 3.0 kVA per cabinet,NA,Distributed Redundant,N+1,"3 x 750 kW and 4 x 2,000 kW Diesel Generators",N+1,"CRAC Units, water-cooled centrifugal chillers and air handling units",N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect",,,"SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, Optimized lighting controls, 100% renewable energy through solar power purchase agreement",

AMER,SV2,IBX+,Silicon Valley,"1350 Duane Avenue
Santa Clara, CA 95054",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","4 mi (6 km) to San Jose Intl Airport (SJC), 31 mi (50 km) to San Francisco Intl Airport (SFO), 35 mi (57 km) to Oakland Intl Airport (OAK)","74,974","6,966","2-story, non-load bearing
tilt-up concrete construction with steel framing",Adjacent to building (no charge),Raised,250 psf (11.97 kN/m2),N/A,,4,"Double-Interlocked,
pre-action (dry pipe) + Fm 200 under floor
and in POP rm; wet pipe in unoccupied areas",2.4 - 5.0 kVA per cabinet,4,Block Redundant,N+1,"9 x 2,000 kW Diesel Generators",N+1,CRAC Units and water-cooled centrifugal chillers,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, SOC-2 Type II, PCI-DSS","LEED Certified, Energy Star 2013, Granular temperature controls, LEDs & Optimized lighting controls, Municipal greywater for cooling and irrigation, 100% renewable energy through solar power purchase agreement",

AMER,SV3,IBX+,Silicon Valley,"1735 Lundy Avenue
San Jose, CA 95131",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","4 mi (7 km) to San Jose Intl Airport (SJC), 37 mi (60 km) to San Francisco Intl Airport (SFO), 33 mi (53 km) to Oakland Intl Airport (OAK)","54,488","5,062","1-story, tilt up concrete
slab on grade",Adjacent to building (no charge),Raised,450 psf (21.55 kN/m2),N/A,,4,"Double-Interlocked,
pre-action (dry pipe) above & below
colocation floor and over electrical
equipment rooms; Wet Pipe in office
areas and mechanical equipment rooms",2.4 - 3.0 kVA per cabinet,NA,Block Redundant,N+1,"7 x 2,000 kW Diesel Generators",N+1,CRAC Units and water-cooled centrifugal chillers,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, SOC-2 Type II","Energy Star Certified 2012, 2013 & 2015, Granular temperature controls & Cold aisle containment, LEDs & Optimized lighting controls, Municipal greywater for irrigation, 100% renewable energy through solar power purchase agreement",

AMER,SV4,IBX+,Silicon Valley,"255 Caspian Drive
Sunnyvale, CA 94089",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","8 mi (13 km) to San Jose Intl Airport (SJC), 28 mi (47 km) to San Francisco Intl Airport (SFO), 35 mi (56 km) to Oakland Intl Airport (OAK)","67,622","6,282","1-story, tilt up concrete
slab on grade",Adjacent to building (no charge),Raised,400 psf (19.15 kN/m2),N/A,,4,"Double-Interlocked,
pre-action (dry pipe) for colocation floor and
over electrical equipment rooms; wet pipe
in office ce areas and mechanical equipment
rooms; VESDA  in colocation and critical
equipment rooms",2.4 - 3.0 kVA per cabinet,NA,Block Redundant,N+1,"5 x 2,000 kW Diesel Generators",N+1,Water-cooled air handling units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, SOC-2 Type II","Energy Star Certified 2013, Granular temperature controls, LEDs & Optimized lighting controls, 100% renewable energy through solar power purchase agreement",

AMER,SV5,IBX+,Silicon Valley,"9 Great Oaks Boulevard
San Jose, CA 95119",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","14 mi (23 km) to San Jose Intl Airport (SJC), 46 mi (75 km) to San Francisco Intl Airport (SFO), 46 mi (76 km) to Oakland Intl Airport (OAK)","93,498","8,686","2-story, Group B construction
steel frame",Adjacent to building (no charge),Slab,175 psf (8.38 kN/m2),Zone D,,D,"Double-Interlocked,
pre-action (dry pipe)",3.0 - 6.0 kVA per cabinet,NA,Block Redundant,6+1,"7 x 3,000 kW Diesel Generators",N+1,"Evaporative Cooling Refrigeration Systems with Refrigerant, Air Side Economizers",N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Metro Connect, Cross Connects, Equinix Management Access, Campus Cross Connect",,,"SSAE16 SOC-1 Type II, SOC-2 Type II, PCI-DSS","LEED Silver, EPA Energy Star 2012 & 2013, Granular temperature controls & Hot/cold aisle containment, State-of-the-art refrigeration system, 1 MW biogas fuel to be installed 12/2015, 100% renewable energy through solar power purchase agreement",

AMER,SV6,IBX,Silicon Valley,"444 Toyama Drive
Sunnyvale, CA 94089",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","8 mi (13 km) to San Jose International Airport (SJC), 29 mi (47 km) to San Francisco International Airport (SFO), 36 mi (58 km) to Oakland International Airport (OAK)","14,353","1,333","2-story, concrete steel
structure concrete, glass face",Adjacent to building (no charge),Raised,80 psf (3.83 kN/m2),Zone X,,4,"Double-Interlocked,
pre-action (dry pipe)",3.0 - 5.0 kVA per cabinet,NA,Parallel Redundant,N+1,"3 x 1,250 kW and 1 x 2,000 kW Diesel Generators",N or N+1 (depending on floor),Evaporative Cooling Refrigeration Systems,N+1,Man Trap Entry,24x7 security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, SOC-2 Type II","Reflective roof & Optimized lighting controls, 100% renewable energy through solar power purchase agreement",

AMER,SV8,IBX,Silicon Valley,"529 Bryant Street
Palo Alto, CA 94301",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com","17 mi/ (28 km) to San Jose International Airport (SJC), 21 mi (34 km) to San Francisco International Airport (SFO), 28 mi (45 km) to Oakland International Airport (OAK)","26,298","2,443","3-story, brick face
with concrete steel structure",Adjacent to building (for fee),Raised,80 psf (3.83 kN/m2),Zone X,,4,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 5.0 kVA per cabinet,NA,Block or Parallel Redundant (depending on floor),N+1,"3 x 2,000 kW Diesel Generators",N+1,CRAC/DX split system air condition system,N+2,Man Trap Entry,24x7 security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits,  Antenna","Cloud Exchange, Metro Connect, Cross Connects, Equinix Management Access",,,"SSAE16 SOC-1 Type II, SOC-2 Type II","Granular temperature controls, LEDs & Optimized lighting controls, 100% renewable energy through solar power purchase agreement & 100% carbon neutral through local utility",

AMER,TR1,IBX,Toronto,"151 Front Street West
3rd, 5th, 6th and 7th floors
Toronto, Ontario M5J 2N1
Canada",,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",27 mi (43 km) to Toronto Pearson International Airport (YYZ),"36,078","3,352","8-story, concrete, steel
framework, concrete face structure",Building parking (for fee),Raised,70 psf (3.35 kN/m2),Zone D,,X,"Double-Interlocked,
pre-action (dry pipe)",2.4 - 5.0 kVA per cabinet,2,Parallel Redundant,N+1,"2 x 250 kW, 2 x 1,000 kW, and 2 x 2,000 kW Diesel Generators",N+1,"Chilled water, DX systems and glycol systems",N or N+1 (depending on suite),Man Trap Entry,24x7 security officers,"PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Metro Connect, Cross Connects",,,"SSAE16 SOC-1 Type II, SOC-2 Type II",Deep lake water cooling system,

AMER,TR2,IBX+,Toronto,"45 Parliament Street
Toronto, Ontario M5A 0G7
Canada",x,x,"Support: +1.866.378.4649 (USA or Canada)
or +1.408.451.5200 (international calls)
Email: support@equinix.com",26 mi (42 km) from Toronto Pearson Intl Airport (YYZ),"106,500","9,894","4-story, concrete structure with
concrete floor",Street parking (for fee),Slab,200 psf (9.58 kN/m2),Zone A,,C,"Double-Interlocked,
pre-action (dry pipe) in entire building
including, colocation, offices and
mechanical/electrical rooms",3.0 - 4.0 kVA per cabinet,2,Parallel Redundant,N+1,"6 x 2,500 kW Diesel Generators",N+1,Centrifugal chillers and air handling units,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers, Fiber Vault, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna",Cloud Exchange,,,"SSAE16 SOC-1 Type II, SOC-2 Type II","LEED Silver (pending), Granular temperature controls & Cold aisle containment & high efficiency Turbocor chillers, Rainwater capture for irrigation, Optimized lighting controls & Electric vehicle chargers",

APAC,HK1,IBX+,Hong Kong,"17/F Global Gateway
168 Yeung Uk Road
Tsuen Wan, N.T.
Hong Kong",,x,"Support: +800.906.850 (Hong Kong)
or +852.5808.5055 (international calls)
Email: ServiceDesk@equinix.com",15.5 miles (25 km) from Hong Kong International Airport,"75,919","7,053","27-story, industrial building, 
reinforced concrete structure",Adjacent to building (for fee),Raised,266 psf (12.74 kN/m2),N/A,,NA,"Fire Detection Laser-based  (VESDA)
Double-Interlock pre-action sprinkler   (dry pipe)",1.7 - 3.6 kVA per cabinet,3 or 5 (depending on floor),Distributed or Block Redundant (depending on floor),N+1,"3 x 2,000 kVA, 2 x 2,135 kVA, and 3 x 2,250 kVA Diesel Generators",N+1,Air-cooled centrifugal chillers and CRAC Units,"N+1 (on chillers) and 
N+20% (or better on CRAC units)",Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms","Cloud Exchange, Internet Exchange, Equinix Connect, Metro Connect, Cross Connects, Extended Metro Connect",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001","LEED Silver (pending for Phase IX), Granular temperature monitoring and cold aisle containment, Optimized lighting controls",

APAC,HK2,IBX+,Hong Kong,"17/F Kerry Warehouse
3 Shing Yiu Street
Kwai Chung
Hong Kong",,x,"Support: +800.906.850 (Hong Kong)
or +852.5808.5055 (international calls)
Email: ServiceDesk@equinix.com",16.3 miles (26 km) from Hong Kong International Airport,"54,282","5,043","18-story, reinforced concrete structure","Building parking (for fee) and
Street parking (for fee)",Raised,313 psf (14.99 kN/m2),N/A,,NA,"(VESDA); smoke and
heat detectors
 Fm 200 for Fuel Tank Rooms",2.0 - 3.6 kVA per cabinet,2 or 3 (depending on floor),2N or Block Redundant (depending on floor),2N or N+1 (depending on floor),"13 x 2,250 kVA Diesel Generators",2N,CRAC Units and water-cooled centrifugal chillers,"N+1 (on chillers) and 
N+20% (on CRAC units)",Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Equinix Connect, Metro Connect, Cross Connects, Extended Metro Connect",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001","LEED Gold, Optimized lighting controls",

APAC,HK3,IBX,Hong Kong,"6/F
1 Wang Wo Tsai Street
Tsuen Wan, N.T.
Hong Kong",,x,"Support: +800.906.850 (Hong Kong)
or +852.5808.5055 (international calls)
Email: ServiceDesk@equinix.com",15.5 miles (26 km) from Hong Kong International Airport,"93,708","8,706","6-story, concrete industrial structure",Adjacent to building (for fee),Raised,313 psf (14.99 kN/m2),N/A,,NA,"Fire Detection Smoke detectors
 Fm200 gas suppression; Pre-action
sprinkler",2.0 - 4.0 kVA per cabinet,4,2N or Block Redundant (depending on floor),2N or N+1 (depending on floor),"9 x 2,000 kVA, 2 x 640 kVA, and 4 x 2,250 kVA Diesel Generators",,CRAC Units and water-cooled centrifugal chillers,"N+1 (on chillers) and 
N+20% (on CRAC units)",Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms","Cloud Exchange, Internet Exchange, Equinix Connect, Metro Connect, Cross Connects, Extended Metro Connect",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001","LEED Gold, Granular temperature monitoring and cold aisle containment, Optimized lighting controls",

APAC,HK4,,,"13/F, Ever Gain Building (No.3) 22 On Sum Street Sha Tin Hong Kong",,x,,25 miles (40 km) to Hong Kong  International Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

APAC,JK1,IBX,Jakarta,"Cibitung Industrial Estate
Jakarta, Indonesia",,x,"Support: +62.21.2949.3000
Email: sg-sales@ap.equinix.com",39.9 miles (64.2 km) from Jakarta Soekarno-Hatta International Airport,"9,257",860,"5-story, purpose-built data
center building",Adjacent to building (for fee),Raised,205 psf (9.82 kN/m2),N/A,,NA,"(VESDA) Integrin gas
suppression; Pre-action dry pipe sprinkler
 s",2.0 kVA per cabinet,NA,2N,2N,"2 x 1,000 kVA Diesel Generators",2N,"Water-cooled chilled water and 
air-cooled systems",2N,Man Trap Entry,24x7 security officers,"Biometric Readers (optional), CCTV and Recorders","Breakroom
Loaner Tools
Showers
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna",Cross Connects,,,,"Permeable pavement and reflective roof, Hot aisle containment",

APAC,ME1,IBX+,Melbourne,"600 Lorimer Street
Port Melbourne
Victoria 3207
Australia",x,x,"Support: +1.800.172.417 (Australia)
or +61.3.8820.5505 (international calls)
Email: ServiceDesk@equinix.com",16.8 miles (27 km) from Melbourne International Airport (MEL),"17,827","1,656","2 story, reinforced concrete structure",Adjacent to building (no charge),Raised,250 psf (11.97 kN/m2),N/A,,NA,"(VESDA); Smoke
and heat detectors
Double-Interlock
pre-action sprinklers (dry pipe)",2.5 - 4.5 kVA per cabinet,NA,Block Redundant,N+1,"5 x 2,250 kVA Diesel Generators",N+1,Indirect Evaporative Coolers,N+1,Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Equinix Connect, Cross Connects",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001, PCI-DSS",Optimized lighting controls,

APAC,OS1,IBX+,Osaka,"Nishi Shinsaibashi Building
1-26-1 Shinmachi Nishi-ku, Osaka City,
Osaka 550-0013, Japan",x,x,"Support: 0066.3384.0073 (Japan)
or +81.3.4520.8118 (international calls)
Email: ServiceDesk.JP@equinix.com",9.3 miles (15 km) from Osaka International Airport (ITM); 28 miles (45 km) from Kansai International Airport (KIX),"25,232","2,344","11-story, structural steel &
reinforced concrete structure","Adjacent to building (for fee) and
street parking (for fee)",Raised,250 psf (11.97 kN/m2),N/A,,NA,"(VESDA), Smoke and heat detectors
 Inergen Gas Suppression",2.0 - 6.0 kVA per cabinet,3,Block Redundant,N+1,"6 x 3,500 kVA Diesel Generators",N+1,"Split-System, Direct Expansion, Air-cooled, DX CRAC Units",N+20%,Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders","Breakroom
Loaner Tools
Crash Carts
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Equinix Connect, Metro Connect, Cross Connects",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001",Cold aisle containment,

APAC,SH1,IBX+,Shanghai,"Building No. 4,
400 Fangchun Road
(Epilight Technology Park),
Zhangjiang Hi-tech Park,
Pudong New Area,
Shanghai 201203 PRC",x,x,"Support: 400.842.8001 (China)
or +65.3158.3073 (international calls)
Email: ServiceDesk.CN@equinix.com",15.5 miles (25 km) from Shanghai Hongqiao International Airport 13 miles (21 km) from Shanghai Pudong International Airport,"4,388",408,"5-story, factory building construction",Adjacent to building (for fee),Raised,250 psf (11.97 kN/m2),N/A,,NA,"(VESDA), Smoke
and heat detectors
 INERGEN IG541",2.0 - 4.0 kVA per cabinet,2,Block Redundant,N+1,"?? x 1,800 kVA Diesel Generators",N+1,DX CRAC Units,N+2,Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders","Breakroom
Loaner Tools
Showers
Crash Carts
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms",Cross Connects,,,ISO 27001,Cold aisle containment,

APAC,SH2,IBX,Shanghai,"Building No. 4
700 Jinyu Road
Pudong New Area
Shanghai 201206 PRC",x,x,"Support: 400.842.8001 (China)
or +65.3158.3073 (international calls)
Email: ServiceDesk.CN@equinix.com",23.3 miles (36 km) from Shanghai Hongqiao International Airport 16.2 miles (26 km) from Shanghai Pudong International Airport,"10,781","1,002","4-story, reinforced concrete structure",Campus parking (for fee),Raised,250 psf (11.97 kN/m2),N/A,,NA,"Fire Detection Smoke detectors
Fm200 gas suppression",1.0 - 3.0 kVA per cabinet,2 (shared with SH3),2N or ?? (depending on floor),2N or N+1 (depending on floor),"2 x 1,000 kVA and 1 x 900 kVA Diesel Generators
(shared with SH3)",N+1,DX and CRAC Units,N+1,"Man Trap Entry, perimeter
fence and gate",24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna","Cross Connects, Campus Cross Connect",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001",Granular temperature monitoring,

APAC,SH3,IBX,Shanghai,"Building No. 3
700 Jinyu Road
Pudong New Area
Shanghai 201206 PRC",x,x,"Support: 400.842.8001 (China)
or +65.3158.3073 (international calls)
Email: ServiceDesk.CN@equinix.com",23.3 miles (36 km) from Shanghai Hongqiao International Airport 16.2 miles (26 km) from Shanghai Pudong International Airport,"13,108","1,218","4-story, reinforced concrete structure",Campus parking (for fee),Raised,250 psf (11.97 kN/m2),N/A,,NA,"Fire Detection Smoke detectors
Fm200 gas suppression",1.0 - 3.0 kVA per cabinet,2,2N or ?? (depending on floor),2N or N (depending on floor),"2 x 1,000 kVA and 1 x 900 kVA Diesel Generators",N+1,CRAC Units and water-cooled centrifugal chillers,N+1,"Man Trap Entry,  perimeter
fence and gate",24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders","Breakroom
Loaner Tools
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms","Cross Connects, Campus Cross Connect",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001",Granular temperature monitoring,

APAC,SH4,,Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

APAC,SH5,IBX+,Shanghai,"Building No. 9
No. 619 Longchang Road
Yangpu District
Shanghai 200090 PRC",x,x,"Support: 400.842.8001 (China)
or +65.3158.3073 (international calls)
Email: ServiceDesk.CN@equinix.com",14.8 miles (23.9 km) from Shanghai Hongqiao International Airport 23.4 miles (37.7 km) from Shanghai Pudong International Airport,"25,036","2,326","4-story, reinforced concrete structure",Campus parking (for fee),Raised,208 psf (9.96 kN/m2),N/A,,NA,"(VESDA)
 Fm 200 gas suppression and Inergen",1.0 - 3.0 kVA per cabinet,2,2N,2N,"4 x 1,000 kVA, 2 x 2,000 kVA, and 2 x 2,250 kVA Diesel Generators",N+1,CRAC Units,N+20%,Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders","Breakroom
Loaner Tools
Showers
Crash Carts
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna, Business Continuity for Trading Rooms",Cross Connects,,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001, PCI-DSS",Optimized lighting controls,

APAC,SG1,IBX+,Singapore,"20 Ayer Rajah Crescent
Ayer Rajah Industrial Park
139964
Singapore",x,x,"Support: 800.852.3382 (Singapore)
or +65.3158.5435 (international calls)
Email: ServiceDesk@equinix.com",18.6 miles (30 km) from Singapore Changi International Airport,"103,473","9,613","9-story, reinforced concrete structure","Adjacent to building (for fee) and
street parking (for fee)",Raised,208 psf (9.96 kN/m2),N/A,,NA,"(VIEW)  & (VESDA)
 Fm 200 gas suppression; Pre-action dry pipe
sprinkler  s",2.0 - 4.0 kVA per cabinet,2,2N,2N,"8 x 1,375 kVA and 3 x 2,000 kVA Diesel Generators",N+1,CRAC Units and water-cooled centrifugal chillers,"N+1 (on chillers) and 
N+25% (on CRAC units)",Man Trap Entry,24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, DC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Equinix Connect, Metro Connect, Cross Connects, Campus Cross Connect",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001, PCI-DSS","SS 564 Part 1: 2013 SG Standards for Green DCs, Granular temperature monitoring, Optimized lighting controls",

APAC,SG2,IBX+,Singapore,"15 Pioneer Walk
627753
Singapore",x,x,"Support: 800.852.3382 (Singapore)
or +65.3158.5435 (international calls)
Email: ServiceDesk@equinix.com",25 miles (40.2 km) from Singapore Changi International Airport,"171,600","15,942","6-story, reinforced concrete structure",Adjacent to building (no charge),Raised,250 psf (11.97 kN/m2),N/A,,NA,"(VIEW) Smoke and heat detectors
Double-Interlock
pre-action sprinklers (dry pipe); Fm 200 for
electrical plant rooms; Novec for electrical
plant rooms (Phase V only)",3.0 - 5.0 kVA per cabinet,4,2N or Block Redundant (depending on floor),2N or N+1 (depending on floor),"16 x 2,000 kVA and 34 x 2,250 kVA Diesel Generators",N+1,CRAC Units and water-cooled centrifugal chillers,"N+1 (on chillers) and 
N+20% (on CRAC units)","Man Trap Entry, perimeter
fence and gate",24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
Conference Room","Private Cage, Secure Cabinet, AC Power Circuits, IBXflex Office and Storage, Antenna","Cloud Exchange, Internet Exchange, Equinix Connect, Metro Connect, Cross Connects",,,"SSAE16/ISAE3402 SOC-1 Type II, ISO 27001, PCI-DSS","SS 564 Part 1: 2013 SG Standards for Green DCs, Granular temperature monitoring",

APAC,SG3,IBX+,Singapore,"26A Ayer Rajah Crescent
139963
Singapore",x,x,"Support: 800.852.3382 (Singapore)
or +65.3158.5435 (international calls)
Email: ServiceDesk@equinix.com",18.6 miles (30 km) from Singapore Changi International Airport (SIN),"30,897","2,870","7-story, reinforced concrete structure",Adjacent to building (for fee),Raised,261 psf (12.5 kN/m2),N/A,,NA,"(VIEW) Smoke and heat detectors
Double-Interlock preaction
sprinklers (dry pipe)",3.0 - 5.0 kVA per cabinet,2,2N,2N,"4 x 2,500 kVA Diesel Generators",2N,CRAC Units and water-cooled centrifugal chillers,"N+1 (on chillers) and 
N+20% (on CRAC units)","Man Trap Entry,  perimeter
fence and gate",24x7 security officers,"Biometric Readers (in common areas), Biometric Readers (optional), PIN + Card Readers, CCTV and Recorders, Motion Detection","Breakroom
Loaner Tools
Showers
Crash Carts
Work Kiosks
Wifi
